gap,核销笔数,环比变化(%),累积覆盖率(%)
1,7229,46.07,18.13
2,6253,-13.5,27.44
3,4940,-21.0,34.8
4,4652,-5.83,41.72
5,4319,-7.16,48.15
6,4544,5.21,54.92
7,4667,2.71,61.87
8,3759,-19.46,67.46
9,3336,-11.25,72.43
10,1975,-40.8,75.37
11,1328,-32.76,77.35
12,1331,0.23,79.33
13,1378,3.53,81.38
14,1504,9.14,83.62
15,896,-40.43,84.95
16,824,-8.04,86.18
17,801,-2.79,87.37
18,738,-7.87,88.47
19,713,-3.39,89.53
20,700,-1.82,90.58
21,801,14.43,91.77
22,661,-17.48,92.75
23,546,-17.4,93.57
24,529,-3.11,94.35
25,493,-6.81,95.09
26,494,0.2,95.82
27,490,-0.81,96.55
28,564,15.1,97.39
29,504,-10.64,98.14
30,218,-56.75,98.47
31,174,-20.18,98.73
32,120,-31.03,98.91
33,113,-5.83,99.07
34,110,-2.65,99.24
35,105,-4.55,99.39
36,57,-45.71,99.48
37,51,-10.53,99.55
38,30,-41.18,99.6
39,25,-16.67,99.64
40,28,12.0,99.68
41,25,-10.71,99.72
42,32,28.0,99.76
43,10,-68.75,99.78
44,14,40.0,99.8
45,8,-42.86,99.81
46,13,62.5,99.83
47,6,-53.85,99.84
48,10,66.67,99.85
49,22,120.0,99.89
50,12,-45.45,99.9
51,8,-33.33,99.92
52,4,-50.0,99.92
53,9,125.0,99.94
54,9,0.0,99.95
55,4,-55.56,99.96
56,4,0.0,99.96
57,6,50.0,99.97
58,2,-66.67,99.97
59,3,50.0,99.98
60,3,0.0,99.98
61,1,-66.67,99.98
62,1,0.0,99.99
63,3,200.0,99.99
64,1,-66.67,99.99
65,0,-100.0,99.99
66,0,,99.99
67,0,,99.99
68,1,inf,99.99
69,1,0.0,99.99
70,1,0.0,100.0
71,1,0.0,100.0
72,0,-100.0,100.0
73,0,,100.0
74,0,,100.0
75,0,,100.0
76,0,,100.0
77,0,,100.0
78,0,,100.0
79,0,,100.0
80,0,,100.0
81,0,,100.0
82,0,,100.0
83,0,,100.0
84,0,,100.0
85,0,,100.0
86,0,,100.0
87,0,,100.0
88,0,,100.0
89,0,,100.0
90,0,,100.0
91,0,,100.0
92,1,inf,100.0
93,0,-100.0,100.0
94,0,,100.0
95,0,,100.0
96,1,inf,100.0
