max_depth,min_samples_leaf,min_samples_split,val_auc
5,20,50,0.598686132620239
5,20,100,0.598686132620239
5,20,200,0.598686132620239
5,50,50,0.598686132620239
5,50,100,0.598686132620239
5,50,200,0.598686132620239
5,100,50,0.5986860441347874
5,100,100,0.5986860441347874
5,100,200,0.5986860441347874
15,20,100,0.5792848653605598
15,20,50,0.579168597775461
15,20,200,0.5784270115479306
15,100,100,0.5783753153592766
15,100,50,0.5783753153592766
15,100,200,0.5783753153592766
15,50,50,0.5782523539072213
15,50,100,0.5782523539072213
8,20,50,0.577981150594668
8,20,100,0.5779533247930394
10,20,100,0.5779003576315349
10,20,50,0.5778919825409975
8,100,200,0.5778679639121118
8,100,100,0.5778679639121118
8,100,50,0.5778679639121118
8,20,200,0.5778290555949588
10,100,100,0.5777143106491248
10,100,200,0.5777143106491248
10,100,50,0.5777143106491248
10,20,200,0.5777067652533416
15,50,200,0.5776401506473776
8,50,50,0.5772185347078576
8,50,100,0.5772185347078576
10,50,100,0.5770992747056679
10,50,50,0.5770992747056679
8,50,200,0.577065069907391
10,50,200,0.5769026140657108
