特征,决策树,XGBoost,决策树排名,XGBoost排名,综合排名
user_mean_interval,0.951015,0.667143,1,1,1.0
user_use_coupon_times,0.009416,0.065513,4,3,3.5
user_receive_unused,0.012798,0.026204,3,4,3.5
coupon_used_rate,0.019607,0.024774,2,5,3.5
distance,0.003325,0.018367,5,7,6.0
coupon_receive_times,0.002542,0.015788,6,8,7.0
user_consume_times,0.0,0.100365,13,2,7.5
coupon_fifteen_used,0.001297,0.011229,7,11,9.0
merchant_receive_unused,0.0,0.020339,13,6,9.5
coupon_consume_times,0.0,0.015328,13,9,11.0
merchant_launch_coupon_count,0.0,0.012963,13,10,11.5
discount_rate,0.0,0.009919,13,12,12.5
merchant_mean_interval,0.0,0.006647,13,13,13.0
merchant_launch_coupon_used_count,0.0,0.003994,13,14,13.5
received_day,0.0,0.000903,13,15,14.0
received_weekday,0.0,0.000525,13,16,14.5
merchant_launch_coupon_used_rate,0.0,0.0,13,18,15.5
user_use_coupon_rate,0.0,0.0,13,18,15.5
received_is_weekend,0.0,0.0,13,18,15.5
